Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0756128732425372
SUM:1.0606415093408381
SUM:1.048146463138633
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0013533554565688757, Arlanda, Sweden)
(0.0013533092635280779, Jorge Chavez Intl, Peru)
(0.0013327766846437156, Brussels Natl, Belgium)
(0.0013195876185302172, Orly, France)
(0.0013105228543884772, Manchester, United Kingdom)
(0.0013070910251334503, Webequie Airport, Canada)
(0.0012939959048742621, Ogoki Post Airport, Canada)
(0.0012917843397072806, Fort Good Hope, Canada)
(0.0012900919726609005, La Guardia, United States)
(0.0012699403813402363, Cancun Intl, Mexico)
(0.0012667947465980585, Pangnirtung, Canada)
(0.0012618418396523933, Malpensa, Italy)
(0.0012607591740276525, Kuujjuaq, Canada)
(0.0012499532042125911, Kuujjuarapik Airport, Canada)
(0.0012444512869713388, Soekarno Hatta Intl, Indonesia)
(0.00123445589965119, Son Sant Joan, Spain)
(0.0012299450104904176, Fort Smith, Canada)
(0.0012195307316169265, Eleftherios Venizelos Intl, Greece)
(0.0012188022475679875, City Centre, Canada)
(0.0012187839662137119, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.0012146432443385367, Honiara International, Solomon Islands)
(0.0012083350075946305, Salt Lake City Intl, United States)
(0.001204902552153982, Dusseldorf, Germany)
(0.0011929735039167284, Bethel, United States)
(0.0011915698998258937, Baiyun Intl, China)
(0.0011841330419404218, Zurich, Switzerland)
(0.001174086615061295, Jacqueline Cochran Regional Airport, United States)
(0.0011679534747253066, Faa\\'a International, French Polynesia)
(0.001165207244067901, Sheremetyevo, Russia)
(0.0011595485979403542, Narsaq Heliport, Greenland)
(0.001154665306840951, Keflavik International Airport, Iceland)
(0.00113968162129588, Baker Lake, Canada)
(0.0011292811458290016, Wujiaba, China)
(0.0011281506067485482, Sisimiut Airport, Greenland)
(0.0011281506067485482, Maniitsoq Airport, Greenland)
(0.0011226372449627629, King Abdulaziz Intl, Saudi Arabia)
(0.0011199505690629005, Puvirnituq Airport, Canada)
(0.0011053713605953287, Mehrabad Intl, Iran)
(0.0011038649186917466, Girua Airport, Papua New Guinea)
(0.0011022843003207934, Lambert St Louis Intl, United States)
(0.001092509218408031, Aasiaat, Greenland)
(0.0010918875986958918, Honolulu Intl, United States)
(0.001081124322114258, Thompson, Canada)
(0.001077365133550647, Comox, Canada)
(0.0010655539162846386, Shuangliu, China)
(0.0010630160394443603, Lisboa, Portugal)
(0.0010618956989850322, Abu Dhabi Intl, United Arab Emirates)
(0.001050518596231261, Bole Intl, Ethiopia)
(0.0010403874747215074, Fort Mcmurray, Canada)
(0.0010394366359920656, Mary's Harbour Airport, Canada)
(0.0010373439715525056, Fairbanks Intl, United States)
(0.001032756553235067, Fort Nelson, Canada)
(0.0010290637758062489, Jomo Kenyatta International, Kenya)
(0.0010288702730452818, Don Muang Intl, Thailand)
(0.0010283340368893133, Moro Airport, Papua New Guinea)
(0.00101913770856672, Ronald Reagan Washington Natl, United States)
(0.0010155871954143428, King Khaled Intl, Saudi Arabia)
(0.001013773133788745, Perth Intl, Australia)
(0.0010091141343474268, Portland Intl, United States)
(0.001002217442319579, Baie Comeau, Canada)
(0.000986381425387, Bonaventure Airport, Canada)
(0.000976937484977087, Vanimo Airport, Papua New Guinea)
(0.000975728294927841, Taoyuan Intl, Taiwan)
(0.0009578065950013842, Simon Bolivar Intl, Venezuela)
(0.00095749310211668, Red Lake Airport, Canada)
(0.0009568981006649585, Kenora, Canada)
(0.00095058654545653, Dublin, Ireland)
(0.0009504671385124556, Houari Boumediene, Algeria)
(0.0009365409592384823, Viracopos, Brazil)
(0.0009340732603680481, Cairo Intl, Egypt)
(0.0009338713392250766, Lourdes De Blanc Sablon Airport, Canada)
(0.0009237103819387394, Presidente Juscelino Kubitschek, Brazil)
(0.000922362926189495, Diwopu, China)
(0.0009167960941292238, Jose Marti Intl, Cuba)
(0.000910029253750098, Sudbury, Canada)
(0.0009066826804755572, Flesland, Norway)
(0.0008948393347288756, Chicago Midway Intl, United States)
(0.0008879959844625329, Schefferville, Canada)
(0.0008820546538887547, Tuktoyaktuk, Canada)
(0.0008820546538887547, Paulatuk, Canada)
(0.0008772621731137429, Xianyang, China)
(0.000876846791255357, Arturo Merino Benitez Intl, Chile)
(0.0008724748735268945, Tabubil Airport, Papua New Guinea)
(0.0008724748735268945, Tari Airport, Papua New Guinea)
(0.0008695352647684931, Sabiha Gokcen, Turkey)
(0.0008631462161283941, Deer Lake, Canada)
(0.000857045901071191, Neerlerit Inaat Airport, Greenland)
(0.0008456435479430503, San Diego Intl, United States)
(0.0008395681765669659, St Hubert, Canada)
(0.000838165584082828, Maripasoula Airport, French Guiana)
(0.0008272665213636292, Baltimore Washington Intl, United States)
(0.000819917633656982, Londolovit Airport, Papua New Guinea)
(0.0008181049089192352, Port Vila Bauerfield, Vanuatu)
(0.000815979043427355, Mactan Cebu Intl, Philippines)
(0.0008138358507699735, Lynden Pindling Intl, Bahamas)
(0.0008092840327742438, Fairmont Hot Springs, Canada)
(0.0008068576609425897, Tulita, Canada)
(0.0008065213151318588, Vnukovo, Russia)
(0.0008032505377452573, Juneau Intl, United States)
(0.0008022059760957212, Tegel, Germany)
