Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0002788428022809
SUM:0.9994997005643587
SUM:0.9989009478588009
SUM:0.9985203001282833
SUM:0.9982754805135646
SUM:0.9980985230501747
SUM:0.9979742353281459
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0005281183130266728, Townsville, Australia)
(0.0005269460611348588, Schonefeld, Germany)
(0.0005267835480097284, Emelyanovo, Russia)
(0.0005253255916094332, Punta Cana Intl, Dominican Republic)
(0.0005252757737388604, General Mitchell Intl, United States)
(0.0005245455342434774, Vaernes, Norway)
(0.000524469161729774, Dubrovnik, Croatia)
(0.0005242039614257076, Alfonso Bonilla Aragon Intl, Colombia)
(0.0005240799138012473, Kos, Greece)
(0.0005235368821280449, Sacramento Intl, United States)
(0.0005233838877690731, Lanzhou Airport, China)
(0.0005232204845827698, Sanaa Intl, Yemen)
(0.0005231334432680603, Unalaska, United States)
(0.0005213227266843172, Macau Intl, Macau)
(0.0005193717242250516, Tobias Bolanos International Airport, Costa Rica)
(0.0005186600647080514, Nuuk, Greenland)
(0.0005182231986291409, Pittsburgh Intl, United States)
(0.0005178296828251425, Phoenix-Mesa Gateway, United States)
(0.0005170498079058505, Sir Seewoosagur Ramgoolam Intl, Mauritius)
(0.0005159358736114601, Nantes Atlantique, France)
(0.0005153863400411965, Fuerteventura, Spain)
(0.0005128036261615335, Novy, Russia)
(0.0005115027393971515, Leeds Bradford, United Kingdom)
(0.0005096460685412119, Capodichino, Italy)
(0.0005070239362958153, Pinto Martins Intl, Brazil)
(0.0005067469456925552, Viru Viru Intl, Bolivia)
(0.0005065626963059972, Olbia Costa Smeralda, Italy)
(0.0005037267669384109, Bodo, Norway)
(0.0005007014395902585, Cochin, India)
(0.0004994167204789019, Adnan Menderes, Turkey)
(0.0004985896093266883, Kuujjuaq, Canada)
(0.0004912998686107755, Albuquerque International Sunport, United States)
(0.0004912773684687723, General Abelardo L Rodriguez Intl, Mexico)
(0.0004887793290968405, Indianapolis Intl, United States)
(0.0004883562314829138, Allama Iqbal Intl, Pakistan)
(0.0004867416176377009, Hato, Netherlands Antilles)
(0.0004812662282457649, Port Columbus Intl, United States)
(0.00048100836393410166, Reina Beatrix Intl, Aruba)
(0.000478716175791432, Bilbao, Spain)
(0.00047632982652285146, Luxembourg, Luxembourg)
(0.00047328350338040123, Ilulissat, Greenland)
(0.0004695280758486072, Southwest Florida Intl, United States)
(0.0004655930753591397, Wenzhou Yongqiang Airport, China)
(0.0004652576812155391, Minsk 2, Belarus)
(0.00046489203139072526, Billings Logan International Airport, United States)
(0.00046424338433373284, Lokpriya Gopinath Bordoloi International Airport, India)
(0.00046316964714886036, Kirkwall, United Kingdom)
(0.00046234296190890683, Menara, Morocco)
(0.00046144481368315957, Yakutsk, Russia)
(0.00046118362405136814, Chiang Mai Intl, Thailand)
(0.00046094808939284456, Mwalimu Julius K Nyerere Intl, Tanzania)
(0.00045993916718522327, Kuching Intl, Malaysia)
(0.0004598825907881919, Gimpo, South Korea)
(0.0004589368365349885, Sentani, Indonesia)
(0.000458906743348146, Gold Coast, Australia)
(0.000456969072327187, Red Lake Airport, Canada)
(0.0004538425170817657, Luogang, China)
(0.0004534701840461548, Elmas, Italy)
(0.0004511975630252889, Merignac, France)
(0.0004509750905848421, Tallinn, Estonia)
(0.0004505929532195346, Liverpool, United Kingdom)
(0.0004497302313915019, Knevichi, Russia)
(0.00044596915493071165, Esfahan Shahid Beheshti Intl, Iran)
(0.00044452163902144966, Beijing Nanyuan Airport, China)
(0.00044409613558970423, Male Intl, Maldives)
(0.00044212723186142026, Palermo, Italy)
(0.00044131656058994813, Olaya Herrera, Colombia)
(0.00043837066010616476, Changchun, China)
(0.0004362509780317205, Vityazevo, Russia)
(0.00043523805804295495, Linate, Italy)
(0.00043468095024058067, Zhuliany Intl, Ukraine)
(0.0004340917910144086, Mount Isa, Australia)
(0.00043250733074795317, Sofia, Bulgaria)
(0.00043144411724000374, Dallas Love Fld, United States)
(0.00043110193687214836, Guam Intl, Guam)
(0.0004300480892470529, Burgas, Bulgaria)
(0.0004298065238471592, Kigali Intl, Rwanda)
(0.00042771310225157974, Eindhoven, Netherlands)
(0.0004270373651704192, Yinchuan, China)
(0.0004267514914030592, John Wayne Arpt Orange Co, United States)
(0.0004242992989066354, Los Cabos Intl, Mexico)
(0.0004241257893310494, Hang Nadim, Indonesia)
(0.0004240089848195048, Borg El Arab Intl, Egypt)
(0.0004225758384466336, Imam Khomeini, Iran)
(0.00042168960713828544, Santa Genoveva, Brazil)
(0.0004210785120232108, Ahwaz, Iran)
(0.0004204882301728009, Vilnius Intl, Lithuania)
(0.0004204592121892833, Pampulha Carlos Drummond De Andrade, Brazil)
(0.0004200700398251295, Dalaman, Turkey)
(0.0004173548555792277, Entebbe Intl, Uganda)
(0.00041709450376770573, Shijiazhuang Daguocun International Airport, China)
(0.000415422102851131, Maputo, Mozambique)
(0.0004153925272399942, Cadjehoun, Benin)
(0.0004151284556227763, Myrtle Beach Intl, United States)
(0.00041496458526960387, Lishe, China)
(0.0004124284697764267, Harare Intl, Zimbabwe)
(0.00041224383941919915, Las Americas Intl, Dominican Republic)
(0.0004105092021699893, Sondre Stromfjord, Greenland)
(0.00041018617888053576, Frankfurt Hahn, Germany)
(0.00040956593954576793, Tille, France)
(0.0004082523578160639, Edward G Pitka Sr, United States)
(0.0004058387063637412, V C Bird Intl, Antigua and Barbuda)
(0.00040581726974357274, Niederrhein, Germany)
(0.0004057165938050035, Eros Airport, Namibia)
(0.0004054610881139041, Ugnu-Kuparuk Airport, United States)
(0.00040528284637492335, Hercilio Luz, Brazil)
(0.0004052366722005964, Sola, Norway)
(0.00040453567362929024, Kaohsiung Intl, Taiwan)
(0.00040431824054923654, Governador Jorge Teixeira De Oliveira, Brazil)
(0.00040138086496146173, Madeira, Portugal)
(0.00040115336627898876, Jose Maria Cordova, Colombia)
(0.0003974564480998335, Wattay Intl, Laos)
(0.00039733098538731265, Ahmedabad, India)
(0.0003972352860469917, Munda Airport, Solomon Islands)
(0.0003954743889034166, Bandar Abbass Intl, Iran)
(0.00039453230159095665, Irkutsk, Russia)
(0.00039448690199147916, Kodiak, United States)
(0.00039047334438545387, Balice, Poland)
(0.0003902302069615492, Narsarsuaq, Greenland)
(0.0003892734564677506, Tokua Airport, Papua New Guinea)
(0.00038882892682715823, Jersey, Jersey)
(0.00038847161212079734, Manas, Kyrgyzstan)
(0.0003880132689227996, Ouagadougou, Burkina Faso)
(0.00038785795404469705, Temindung, Indonesia)
(0.00038666303291645215, Providenciales, Turks and Caicos Islands)
(0.0003866195918511466, Santarem, Brazil)
(0.0003860690963867397, Waskaganish Airport, Canada)
(0.00038561768765468655, Xining Caojiabu Airport, China)
(0.00038515711566355465, Fort Yukon, United States)
(0.00038375240959314587, Zvartnots, Armenia)
(0.0003833816611314287, Mount Hagen, Papua New Guinea)
(0.00038287598681907136, Dyce, United Kingdom)
(0.00038242830532629564, Sam Ratulangi, Indonesia)
(0.00037855186389395613, Campo Dell Oro, France)
(0.0003779352037760025, Laishan, China)
(0.00037771935339187744, Talagi, Russia)
(0.0003768237242908099, Wiley Post Will Rogers Mem, United States)
(0.00037681458448384853, Pattimura, Indonesia)
(0.0003767292071002779, La Aurora, Guatemala)
(0.0003754582644333338, Sangster Intl, Jamaica)
(0.0003753128577578422, St Petersburg Clearwater Intl, United States)
(0.0003752104758293172, St Denis Gillot, Reunion)
(0.00037514117233806765, Prince Mohammad Bin Abdulaziz, Saudi Arabia)
(0.000374063503373987, Durban Intl, South Africa)
(0.000373022144015045, Pafos Intl, Cyprus)
(0.0003721959595988045, Bateen, United Arab Emirates)
(0.00037190416923760613, Marudi, Malaysia)
(0.00037138447586818936, El Plumerillo, Argentina)
(0.0003701738442221259, Sevilla, Spain)
(0.0003700642697267258, Ciampino, Italy)
(0.0003683482253135085, Nadzab, Papua New Guinea)
(0.000367633575685457, Southampton, United Kingdom)
(0.0003669016859225095, Cambridge Bay, Canada)
(0.00036635000484607367, Grantley Adams Intl, Barbados)
(0.0003660674024070115, Goiabeiras, Brazil)
(0.000365390957474067, Bari, Italy)
(0.00036505099782233155, Lijiang Airport, China)
(0.00036484691336545743, Rangiroa, French Polynesia)
(0.00036397796106860553, Norman Wells, Canada)
(0.0003638148907457514, Jacksonville Intl, United States)
(0.00036378980392516564, Toncontin Intl, Honduras)
(0.0003632458628631375, Es Senia, Algeria)
(0.00036204343538015916, Landvetter, Sweden)
(0.00036198053443742604, Campo Grande, Brazil)
(0.00036079159921625263, St Johns Intl, Canada)
(0.0003601301891003124, Tte Av Jorge Henrich Arauz, Bolivia)
(0.00035924165874760263, Hammerfest Airport, Norway)
(0.00035827105468908736, Lech Walesa, Poland)
(0.00035510582116280603, Will Rogers World, United States)
(0.00035440416184104827, Piarco, Trinidad and Tobago)
(0.00035369041043003944, Louisville International Airport, United States)
(0.0003529329858519618, Belfast Intl, United Kingdom)
(0.0003523936182273901, Kazan, Russia)
(0.00035122888908230033, Khrabrovo, Russia)
(0.0003511178825466568, Ponta Delgada, Portugal)
(0.00035021562093537524, Bromma, Sweden)
(0.0003485391537882748, Thiruvananthapuram Intl, India)
(0.00034808951490839424, Kurumoch, Russia)
(0.00034785857969037, Leite Lopes, Brazil)
(0.00034729993995164877, Kilimanjaro Intl, Tanzania)
(0.0003470045616322221, Licenciado Gustavo Diaz Ordaz Intl, Mexico)
(0.000346606287566553, Peshawar Intl, Pakistan)
(0.00034626473254972947, Souda, Greece)
(0.0003458535379888559, Siem Reap, Cambodia)
(0.00034517306290035604, Danang Intl, Vietnam)
(0.0003437232363085092, Nurnberg, Germany)
(0.00034358015495103157, Sungshan, Taiwan)
(0.00034278256804041107, La Tontouta, New Caledonia)
(0.0003416406409823172, Pashkovskiy, Russia)
(0.0003414576102527847, Alfredo Vasquez Cobo, Colombia)
(0.00034134794438388667, Sharm El Sheikh Intl, Egypt)
(0.0003404700661878087, Zagreb, Croatia)
(0.0003393254227512627, Torp, Norway)
(0.00033829190095474316, Mekane Salam Airport, Ethiopia)
(0.00033729094161693706, Bradley Intl, United States)
(0.0003366408122005581, Neuenland, Germany)
(0.0003358629406869711, Santa Maria Airport, Brazil)
