Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0002788428022809
SUM:0.9994997005643587
SUM:0.9989009478588009
SUM:0.9985203001282833
SUM:0.9982754805135646
SUM:0.9980985230501747
SUM:0.9979742353281459
SUM:0.9978838424301341
SUM:0.9978171610938518
SUM:0.9977676901649387
SUM:0.9977304418392055
SUM:0.9977022035376139
SUM:0.9976806749234217
SUM:0.997664148044469
SUM:0.9976514137718662
SUM:0.9976415623159084
SUM:0.9976339146533469
SUM:0.9976279627394976
SUM:0.9976233189069481
SUM:0.9976196883402473
SUM:0.9976168449512777
SUM:0.9976146145590559
SUM:0.9976128626404643
SUM:0.997611484892668
SUM:0.9976104002426165
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0013439143507234465, Arturo Merino Benitez Intl, Chile)
(0.0013285637936768554, Cancun Intl, Mexico)
(0.0013091111735033735, Hongqiao Intl, China)
(0.0013078790256972192, Don Muang Intl, Thailand)
(0.001306822848941646, Portland Intl, United States)
(0.001301379418389086, Simon Bolivar Intl, Venezuela)
(0.001295918217255943, Viracopos, Brazil)
(0.0012718700986453753, Lambert St Louis Intl, United States)
(0.00127071110869321, Sabiha Gokcen, Turkey)
(0.0012657429610313702, Malaga, Spain)
(0.0012564192409159792, Galeao Antonio Carlos Jobim, Brazil)
(0.001256006178255784, Gaoqi, China)
(0.0012462618896961176, Chicago Midway Intl, United States)
(0.0012349739199238217, La Guardia, United States)
(0.0012191161080449112, Baltimore Washington Intl, United States)
(0.001218590238177304, Stansted, United Kingdom)
(0.0012163841847633481, Kansai, Japan)
(0.0012103803006652837, Juneau Intl, United States)
(0.0011787601823357759, Ronald Reagan Washington Natl, United States)
(0.0011702738394142142, Netaji Subhash Chandra Bose Intl, India)
(0.0011546460192298326, Liuting, China)
(0.0011472555438406065, Tocumen Intl, Panama)
(0.0011415658626638958, Cairns Intl, Australia)
(0.0011380989187103135, Tansonnhat Intl, Vietnam)
(0.0011379685332031189, Tianhe, China)
(0.0011353988545135065, Houari Boumediene, Algeria)
(0.001134419256288239, Huanghua, China)
(0.0011338202625036677, Tampa Intl, United States)
(0.0011327619386100544, Alicante, Spain)
(0.0011191873627543138, Geneve Cointrin, Switzerland)
(0.0011172629356522915, Port Vila Bauerfield, Vanuatu)
(0.0011058840132092043, Ruzyne, Czech Republic)
(0.0010988616074184736, Birmingham, United Kingdom)
(0.0010980762168119542, Bali Ngurah Rai, Indonesia)
(0.001097554794598222, Cote D\\'Azur, France)
(0.0010900157974846696, Lukou, China)
(0.0010823029109426428, Ibiza, Spain)
(0.0010767412021494675, Juan Santamaria Intl, Costa Rica)
(0.0010713892824457242, Eduardo Gomes Intl, Brazil)
(0.0010668685640158196, Mashhad, Iran)
(0.0010619508562833924, Sioux Lookout, Canada)
(0.0010515242879486763, Venezia Tessera, Italy)
(0.0010482387614190528, Nadi Intl, Fiji)
(0.0010476306618706088, Hasanuddin, Indonesia)
(0.0010460809625726574, Vnukovo, Russia)
(0.001044520353119546, Saint Exupery, France)
(0.0010381652409085505, Deputado Luis Eduardo Magalhaes, Brazil)
(0.0010293663766740748, Edmonton Intl, Canada)
(0.0010291283732092916, Gran Canaria, Spain)
(0.0010232671326536181, Glasgow, United Kingdom)
(0.0010198661832814685, Stuttgart, Germany)
(0.0010183462037874013, Mohammed V Intl, Morocco)
(0.0010150122461700156, San Diego Intl, United States)
(0.0010105512058495056, Provence, France)
(0.0009987141637760617, Edinburgh, United Kingdom)
(0.0009911652414192908, Adelaide Intl, Australia)
(0.0009900986872238208, Hamburg, Germany)
(0.0009701556532722166, Bangalore, India)
(0.0009669207554940439, Okecie, Poland)
(0.0009604844121292551, Nome, United States)
(0.000956756121105426, Tribhuvan Intl, Nepal)
(0.0009547204812189107, Ben Gurion, Israel)
(0.0009507259960583003, Mactan Cebu Intl, Philippines)
(0.0009493146069973963, Tancredo Neves Intl, Brazil)
(0.0009481932862483194, Yellowknife, Canada)
(0.0009460304483442978, Marcos A Gelabert Intl, Panama)
(0.0009412979710093771, Nikos Kazantzakis, Greece)
(0.0009404575831986656, Luis Munoz Marin Intl, Puerto Rico)
(0.0009387206367533978, Luanda 4 De Fevereiro, Angola)
(0.0009359516268363107, Noibai Intl, Vietnam)
(0.0009326747053027087, Chennai Intl, India)
(0.0009299501017982711, Magenta, New Caledonia)
(0.0009287473764727247, Ministro Pistarini, Argentina)
(0.0009284340493489842, Queen Alia Intl, Jordan)
(0.0009280648198738428, Lynden Pindling Intl, Bahamas)
(0.0009217299627799976, Jose Marti Intl, Cuba)
(0.000918708460910187, Henri Coanda, Romania)
(0.0009168982993661313, Ralph Wien Mem, United States)
(0.0009166511655478665, Xinzheng, China)
(0.0009127920720674052, Antalya, Turkey)
(0.0009110502837801188, Kuwait Intl, Kuwait)
(0.0009088761858156062, Cleveland Hopkins Intl, United States)
(0.0009052840735625609, Zhoushuizi, China)
(0.0008902490363205018, Koln Bonn, Germany)
(0.0008899227585451191, New Chitose, Japan)
(0.0008861805577730965, Boryspil Intl, Ukraine)
(0.0008840322420738745, Seeb Intl, Oman)
(0.000882925315258441, Darwin Intl, Australia)
(0.0008806607373620447, Koltsovo, Russia)
(0.0008655471250725731, Rhodes Diagoras, Greece)
(0.0008650183442604321, Wellington Intl, New Zealand)
(0.00086293362280448, Shenyang Taoxian International Airport, China)
(0.0008587713423282216, Taiping, China)
(0.0008568825807749572, Jinnah Intl, Pakistan)
(0.0008545745169700642, Bergamo Orio Al Serio, Italy)
(0.0008470065961607425, Juanda, Indonesia)
(0.0008395982936103716, Tenerife Sur, Spain)
(0.0008374644325094649, Tolmachevo, Russia)
(0.0008367282855813445, Salgado Filho, Brazil)
