Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0002788428022809
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0009951667747198022, Honolulu Intl, United States)
(0.0009775089241157273, Magenta, New Caledonia)
(0.0009719495891456882, Orlando Intl, United States)
(0.0009675356159368218, New Chitose, Japan)
(0.0009659774998455018, Guarulhos Gov Andre Franco Montouro, Brazil)
(0.0009550441980578951, Brussels Natl, Belgium)
(0.0009540075676271837, Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.0009356295341608192, Noibai Intl, Vietnam)
(0.0009271994647936153, Henri Coanda, Romania)
(0.0009209658003017773, Sioux Lookout, Canada)
(0.0009154765035884517, Nausori Intl, Fiji)
(0.0009061113706770317, Juan Santamaria Intl, Costa Rica)
(0.0009041415111028762, Deputado Luis Eduardo Magalhaes, Brazil)
(0.0008992630452603382, Jiangbei, China)
(0.0008979644806997041, Murtala Muhammed, Nigeria)
(0.0008932300563907749, Chinggis Khaan Intl, Mongolia)
(0.0008923032681993296, Arturo Merino Benitez Intl, Chile)
(0.0008921408339161833, Almaty, Kazakhstan)
(0.0008904033248372248, Baoan Intl, China)
(0.0008875038745628316, Jeju Intl, South Korea)
(0.0008859192386303548, Tripoli Intl, Libya)
(0.0008830823098159356, Bangalore, India)
(0.0008742655890843127, Ralph Wien Mem, United States)
(0.0008735102083277763, Dusseldorf, Germany)
(0.0008639100700247028, Esenboga, Turkey)
(0.000862056009111034, Bergamo Orio Al Serio, Italy)
(0.0008576014209972785, Kotoka Intl, Ghana)
(0.0008569359076386941, Ketchikan Intl, United States)
(0.0008532511602075813, Nadi Intl, Fiji)
(0.0008516588496574061, Hongqiao Intl, China)
(0.0008381934718008714, Mohammed V Intl, Morocco)
(0.0008380479042174436, Luis Munoz Marin Intl, Puerto Rico)
(0.000830043980554583, King Salmon, United States)
(0.0008171548034586138, Cote D\\'Azur, France)
(0.000805261809979482, Portland Intl, United States)
(0.0008027857882215109, Miri, Malaysia)
(0.0007998813470586587, Zurich, Switzerland)
(0.0007965930582922281, Tanna island, Vanuatu)
(0.000791274666538482, Sochi, Russia)
(0.0007888517339147514, Girona, Spain)
(0.0007835595854963133, Ivato, Madagascar)
(0.0007825033108620044, Osaka Intl, Japan)
(0.0007823963414116492, Nome, United States)
(0.0007768568432458853, Mandalay Intl, Burma)
(0.0007738929199211786, Saint Exupery, France)
(0.0007731558393627373, City, United Kingdom)
(0.0007724322552876667, Cape Town Intl, South Africa)
(0.0007698090582773155, Phoenix-Mesa Gateway, United States)
(0.0007691321914151727, Newark Liberty Intl, United States)
(0.0007681735171604075, Chicago Midway Intl, United States)
(0.0007630957086568513, Nairobi Wilson, Kenya)
(0.0007561394655929537, Rarotonga Intl, Cook Islands)
(0.0007558450463087191, Ronald Reagan Washington Natl, United States)
(0.0007556961683576369, Heathrow, United Kingdom)
(0.0007536516379699117, Lisboa, Portugal)
(0.0007517852464374082, Cleveland Hopkins Intl, United States)
(0.0007496481728644874, Beijing Nanyuan Airport, China)
(0.0007466848003690548, Provence, France)
(0.0007435174081252354, Taoyuan Intl, Taiwan)
(0.0007435139624099189, Gran Canaria, Spain)
(0.0007423744117869072, Dublin, Ireland)
(0.0007387335243277002, Alicante, Spain)
(0.0007384983013564303, Edmonton Intl, Canada)
(0.0007369028879345627, Yakutsk, Russia)
(0.0007272359147210932, Bali Ngurah Rai, Indonesia)
(0.0007238445472741031, Birmingham, United Kingdom)
(0.0007167112973598585, Astana Intl, Kazakhstan)
(0.0007134694795728074, Marechal Rondon, Brazil)
(0.0007127261301984067, Iqaluit, Canada)
(0.0007118243670566108, Christchurch Intl, New Zealand)
(0.0007108672073905018, Afonso Pena, Brazil)
(0.0007103180398610961, Yuzhny, Uzbekistan)
(0.0007050968952877263, Koltsovo, Russia)
(0.0007047049174742675, Khartoum, Sudan)
(0.0006901094415149063, Hong Kong Intl, Hong Kong)
(0.0006863970196765752, Zia Intl, Bangladesh)
(0.0006834763124757915, Cancun Intl, Mexico)
(0.0006825899239755023, Hyderabad, India)
(0.000674132392861568, Flesland, Norway)
(0.0006552330485071957, Yangon Intl, Burma)
(0.0006544958642789899, General Abelardo L Rodriguez Intl, Mexico)
(0.0006530906270046229, Tancredo Neves Intl, Brazil)
(0.0006511964541992141, Reykjavik, Iceland)
(0.0006481700279643573, Darwin Intl, Australia)
(0.0006475942408095232, Lusaka Intl, Zambia)
(0.0006430391880931944, Gaoqi, China)
(0.0006409800491105692, Edinburgh, United Kingdom)
(0.0006399512927827435, Liuting, China)
(0.0006390332181181696, Congonhas, Brazil)
(0.0006327739160340783, Taiping, China)
(0.0006321157135271626, El Alto Intl, Bolivia)
(0.0006318646962458373, Wattay Intl, Laos)
(0.000631791125062452, Bodo, Norway)
(0.0006254640516640962, Sanaa Intl, Yemen)
(0.0006218786544704232, Xiaoshan, China)
(0.0006212811940465802, Kota Kinabalu Intl, Malaysia)
(0.000615750213766824, Pampulha Carlos Drummond De Andrade, Brazil)
(0.0006131042624585141, Talagi, Russia)
(0.0006100956100656833, Val De Cans Intl, Brazil)
(0.0006097899596638623, Abu Dhabi Intl, United Arab Emirates)
(0.0006093569463195712, Tianhe, China)
(0.0006078545746254304, Kahului, United States)
(0.0006057185209555088, Inuvik Mike Zubko, Canada)
(0.0006033211368734216, Boryspil Intl, Ukraine)
(0.0006011519477411624, Malpensa, Italy)
(0.0005976539497104894, Tobias Bolanos International Airport, Costa Rica)
(0.0005967963012854875, Chaklala, Pakistan)
(0.0005946130933286451, Goose Bay, Canada)
(0.0005941436854765179, Santo Pekoa International Airport, Vanuatu)
(0.0005924732190530972, La Guardia, United States)
(0.0005888594789282733, Sentani, Indonesia)
(0.0005860565284806896, Kodiak, United States)
(0.0005856543652996586, Zhuliany Intl, Ukraine)
(0.0005855070677791667, Alfonso Bonilla Aragon Intl, Colombia)
(0.0005842086258769385, Polonia, Indonesia)
(0.0005827577137844433, Jose Joaquin De Olmedo Intl, Ecuador)
(0.000574189932183383, Kirkwall, United Kingdom)
(0.0005706512541677469, Malaga, Spain)
(0.0005664441359160487, Wabush, Canada)
(0.0005645010872096608, Langnes, Norway)
(0.000563514829031509, Princess Juliana Intl, Netherlands Antilles)
(0.0005633181313839136, Tampa Intl, United States)
(0.0005632208955762103, Naha, Japan)
(0.0005577781582469904, Khrabrovo, Russia)
(0.0005560007081907854, Brussels South, Belgium)
(0.0005523764365377993, Khomutovo, Russia)
(0.0005522867823861992, Salgado Filho, Brazil)
(0.0005510023234878716, Zhoushuizi, China)
(0.0005488781772344365, Tolmachevo, Russia)
(0.0005474064619463428, Olaya Herrera, Colombia)
(0.000546094688703018, Chiang Mai Intl, Thailand)
(0.0005460175619865122, Aniak Airport, United States)
(0.000543716039391829, Seeb Intl, Oman)
(0.0005399121670207268, Bromma, Sweden)
(0.000536673010650391, Huanghua, China)
(0.0005350012105625418, Narita Intl, Japan)
(0.0005349687983935905, Gimpo, South Korea)
(0.0005340657907452787, Winnipeg Intl, Canada)
(0.0005337004802171618, Don Miguel Hidalgo Y Costilla Intl, Mexico)
(0.0005336578235152714, Luton, United Kingdom)
(0.0005336442730516523, Shiraz Shahid Dastghaib Intl, Iran)
(0.0005317096193572039, Fukuoka, Japan)
(0.0005229798531882012, Shenyang Taoxian International Airport, China)
(0.0005220879895871259, Billings Logan International Airport, United States)
(0.0005202157836627977, Rhodes Diagoras, Greece)
(0.0005200234334748373, Emelyanovo, Russia)
(0.0005191082565829579, Marudi, Malaysia)
(0.0005161038934950908, Tocumen Intl, Panama)
(0.0005155750880188782, St Petersburg Clearwater Intl, United States)
(0.0005135676138865118, Kuujjuaq, Canada)
(0.0005129425054755781, Riga Intl, Latvia)
(0.0005127709201654542, Unalaska, United States)
(0.000511333818128101, Baltimore Washington Intl, United States)
(0.0005091715128503299, Tegel, Germany)
(0.0005061299914098764, Leopold Sedar Senghor Intl, Senegal)
(0.0005047471161662811, Chennai Intl, India)
(0.0005030668402430229, General Mariano Escobedo Intl, Mexico)
(0.000501142999312643, Thunder Bay, Canada)
(0.0004976965615447803, Kuching Intl, Malaysia)
