Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.0000697107005871
SUM:1.000021014310773
SUM:1.00001165879972
SUM:1.0000101718944585
SUM:1.0000099328128447
SUM:1.0000098896103915
SUM:1.0000098820243468
SUM:1.0000098806450732
SUM:1.000009880390782
SUM:1.0000098803436221
SUM:1.0000098803347133
SUM:1.0000098803330735
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.00040601682221042164, Netaji Subhash Chandra Bose Intl, India)
(0.00039988858354645654, Honolulu Intl, United States)
(0.00039978381344790573, Marcos A Gelabert Intl, Panama)
(0.00039823653400978556, Jinnah Intl, Pakistan)
(0.00039797801613844746, Stansted, United Kingdom)
(0.00039582807351124297, Port Vila Bauerfield, Vanuatu)
(0.0003938865251846851, Hong Kong Intl, Hong Kong)
(0.00038967465925691177, Mariscal Sucre Intl, Ecuador)
(0.0003866944698059513, Wellington Intl, New Zealand)
(0.000386515479307172, Glasgow, United Kingdom)
(0.0003856684589786085, Yellowknife, Canada)
(0.00038424306622080384, Mactan Cebu Intl, Philippines)
(0.0003828709753038042, Dusseldorf, Germany)
(0.0003808772812833158, Arturo Merino Benitez Intl, Chile)
(0.0003704787146005387, Newark Liberty Intl, United States)
(0.00036964389058449055, Jiangbei, China)
(0.0003676700492417338, Sioux Lookout, Canada)
(0.00036519516860270283, New Chitose, Japan)
(0.00036472087675334204, Juan Santamaria Intl, Costa Rica)
(0.00036466942051135303, Magenta, New Caledonia)
(0.00036377822997454433, Noibai Intl, Vietnam)
(0.00036363439185845654, Zurich, Switzerland)
(0.00036108726559752743, Baoan Intl, China)
(0.0003602314725885305, Deputado Luis Eduardo Magalhaes, Brazil)
(0.00035711114481622815, Nadi Intl, Fiji)
(0.00035609946246000515, Hongqiao Intl, China)
(0.0003558782159045333, Taoyuan Intl, Taiwan)
(0.0003546170089812208, Henri Coanda, Romania)
(0.0003531521202890453, Lisboa, Portugal)
(0.0003514786204360878, Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.0003511518738573618, Murtala Muhammed, Nigeria)
(0.00035114285725338534, Ralph Wien Mem, United States)
