Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.3422795399094678
SUM:1.2739748426741704
SUM:1.2188131298052944
SUM:1.1746257526154884
SUM:1.1392686673008923
SUM:1.1109803625781207
SUM:1.088336921124503
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0015049907219180155, Mehrabad Intl, Iran)
(0.0014838536947009487, Jomo Kenyatta International, Kenya)
(0.0014738394927518376, Xiaoshan, China)
(0.001456055059574605, Losuia Airport, Papua New Guinea)
(0.001456055059574605, Misima Island Airport, Papua New Guinea)
(0.001451690283213308, King Khaled Intl, Saudi Arabia)
(0.0014299230930187908, Tansonnhat Intl, Vietnam)
(0.0014275837492043074, Bole Intl, Ethiopia)
(0.0014266165005711639, Presidente Juscelino Kubitschek, Brazil)
(0.0014243105094256013, Baoan Intl, China)
(0.0013728514882553383, Don Muang Intl, Thailand)
(0.0013670737322448998, Gaoqi, China)
(0.0013545476293792596, Townsville, Australia)
(0.0013524979114766824, Eleftherios Venizelos Intl, Greece)
(0.00135245546829077, Cairo Intl, Egypt)
(0.0013320157659301062, Salt Lake City Intl, United States)
(0.001331994444679473, Diwopu, China)
(0.0013213212733270768, Hongqiao Intl, China)
(0.0013209846851994637, Doha Intl, Qatar)
(0.0012980761629144042, Lisboa, Portugal)
(0.0012937652004678093, Arturo Merino Benitez Intl, Chile)
(0.00128441440142383, Malpensa, Italy)
(0.001268971952892079, Fairbanks Intl, United States)
(0.0012228984625846369, Liuting, China)
(0.0012121435815995666, Calgary Intl, Canada)
(0.0011998036386431314, Lukou, China)
(0.0011736339037049259, Tianhe, China)
(0.0011641204092206524, Simon Bolivar Intl, Venezuela)
(0.0011627635421998456, Viracopos, Brazil)
(0.0011595945749765706, Portland Intl, United States)
(0.0011593657418874812, Netaji Subhash Chandra Bose Intl, India)
(0.0011557087218193917, Huanghua, China)
(0.0011416903076686814, Tufi Airport, Papua New Guinea)
(0.0011390418466111216, Dublin, Ireland)
(0.0011325949392283065, Cancun Intl, Mexico)
(0.0011183575974060445, Kavieng Airport, Papua New Guinea)
(0.0011183575974060445, Buka Airport, Papua New Guinea)
(0.0011086164404135747, Lambert St Louis Intl, United States)
(0.0011016192687299778, Sabiha Gokcen, Turkey)
(0.0011015980795060275, Balimo Airport, Papua New Guinea)
(0.0010990750510815547, Tegel, Germany)
(0.0010911251837343958, Noibai Intl, Vietnam)
(0.0010902402073264305, Juneau Intl, United States)
(0.0010795244397630843, Hasanuddin, Indonesia)
(0.001052024511053654, Galeao Antonio Carlos Jobim, Brazil)
(0.0010506010843491344, Chicago Midway Intl, United States)
(0.0010423604628222746, Houari Boumediene, Algeria)
(0.0010247702622290307, New Chitose, Japan)
(0.001024278640529638, Goroka, Papua New Guinea)
(0.0010229773090581003, La Guardia, United States)
(0.0010073050399555775, Baltimore Washington Intl, United States)
(0.0009996759513633412, Malaga, Spain)
(0.0009897678178430746, Ronald Reagan Washington Natl, United States)
(0.000985923494714348, Tocumen Intl, Panama)
(0.0009810848083887933, Stansted, United Kingdom)
(0.0009790795276771636, Juanda, Indonesia)
(0.000976890726948508, Gold Coast, Australia)
(0.0009758274799390736, Eduardo Gomes Intl, Brazil)
(0.0009709799131379505, Tribhuvan Intl, Nepal)
(0.0009598408252925643, Mashhad, Iran)
(0.0009596703555228051, Zhoushuizi, China)
(0.0009585648728437651, Bangalore, India)
(0.0009559596671521128, Juan Santamaria Intl, Costa Rica)
(0.0009540338577056943, Fukuoka, Japan)
(0.000949239513057266, Chennai Intl, India)
(0.000945822269069953, Vnukovo, Russia)
(0.0009385456039661131, Gimhae Intl, South Korea)
(0.0009315275674959826, Tampa Intl, United States)
(0.0009241642754837456, Sioux Lookout, Canada)
(0.0009212598458400846, Xinzheng, China)
(0.0009205761406211632, Alicante, Spain)
(0.0009190584020134426, Edmonton Intl, Canada)
(0.0009028928252644594, Cote D\\'Azur, France)
(0.000900498405683094, Geneve Cointrin, Switzerland)
(0.0008985684213270672, Shenyang Taoxian International Airport, China)
(0.0008981773505920235, Ruzyne, Czech Republic)
(0.0008960940585991961, Mount Isa, Australia)
(0.0008924215571851807, San Diego Intl, United States)
(0.00088769256088095, Chubu Centrair Intl, Japan)
(0.0008870736103343199, Deputado Luis Eduardo Magalhaes, Brazil)
(0.0008777585239123976, Birmingham, United Kingdom)
(0.0008761108288229314, Luanda 4 De Fevereiro, Angola)
(0.0008752557453575349, Mohammed V Intl, Morocco)
(0.0008718006710292971, Taiping, China)
(0.0008664257621983683, Glasgow, United Kingdom)
(0.0008585569279979657, Marcos A Gelabert Intl, Panama)
(0.0008555727300855696, Saint Exupery, France)
(0.0008466920545613679, Ibiza, Spain)
(0.0008452780850025182, Lynden Pindling Intl, Bahamas)
(0.0008423777707990247, Yellowknife, Canada)
(0.0008401722335981134, Venezia Tessera, Italy)
(0.000838897033168228, Seeb Intl, Oman)
(0.0008387727031843183, Jose Marti Intl, Cuba)
(0.0008370815214855632, Provence, France)
(0.0008266260571643762, Kuwait Intl, Kuwait)
(0.0008253438041025666, Jinnah Intl, Pakistan)
(0.0008253190443627371, Ministro Pistarini, Argentina)
(0.0008251256222437689, Nome, United States)
(0.0008231798770184954, Gran Canaria, Spain)
(0.0008224889935028427, Queen Alia Intl, Jordan)
(0.0008105066425541867, Tancredo Neves Intl, Brazil)
(0.0008096474783250619, Edinburgh, United Kingdom)
(0.0008073016105429332, Ben Gurion, Israel)
(0.0008069416071059508, Luis Munoz Marin Intl, Puerto Rico)
(0.0008044906518182804, Stuttgart, Germany)
(0.0008004496113540845, Ralph Wien Mem, United States)
(0.0007952115040292384, Bandaranaike Intl Colombo, Sri Lanka)
(0.0007950242108017988, Binhai, China)
(0.0007927289779364227, Kota Kinabalu Intl, Malaysia)
(0.0007859189766744416, Cleveland Hopkins Intl, United States)
(0.000783349230742411, Longdongbao, China)
(0.0007818961109116399, Okecie, Poland)
(0.0007818637532677462, Hamburg, Germany)
(0.0007801810633240219, Yangon Intl, Burma)
(0.0007797106777954496, Magenta, New Caledonia)
(0.0007783109501297595, Hyderabad, India)
(0.0007762357618191929, Henri Coanda, Romania)
(0.0007760053809199373, Koltsovo, Russia)
(0.0007759493053703815, Jinan, China)
(0.0007597030713202422, Mariscal Sucre Intl, Ecuador)
(0.0007554775303764391, Tolmachevo, Russia)
(0.0007542783807948663, Boryspil Intl, Ukraine)
(0.0007498225699111951, Nikos Kazantzakis, Greece)
(0.0007363614722974065, Zia Intl, Bangladesh)
(0.0007334283329239913, Yuzhny, Uzbekistan)
(0.000733172143608467, Antalya, Turkey)
(0.0007316636863320798, Almaty, Kazakhstan)
(0.0007307042513727672, Salgado Filho, Brazil)
(0.0007303454837892506, Polonia, Indonesia)
(0.0007300194065409217, Murtala Muhammed, Nigeria)
(0.0007292575237559497, Orlando Sanford Intl, United States)
(0.0007288246882058881, Phuket Intl, Thailand)
(0.0007260270079891022, Wuxu, China)
(0.0007201286808541782, Santo Pekoa International Airport, Vanuatu)
(0.0007137281748182991, Changle, China)
(0.0007119015449498973, Afonso Pena, Brazil)
(0.0007108081764541516, Ketchikan Intl, United States)
(0.000710445374480377, Koln Bonn, Germany)
(0.0007069033354964623, Bergamo Orio Al Serio, Italy)
(0.0007012367757557803, Naha, Japan)
(0.0006968184874377413, Don Miguel Hidalgo Y Costilla Intl, Mexico)
(0.0006967757757654755, Rhodes Diagoras, Greece)
(0.0006888750519398149, Broome, Australia)
(0.0006882179509957254, Baita Airport, China)
(0.0006875198164111779, Jeju Intl, South Korea)
(0.0006871567626705434, Wusu, China)
(0.0006848214047187346, Nnamdi Azikiwe Intl, Nigeria)
(0.0006814378140656996, Riga Intl, Latvia)
(0.000677989637689684, Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.0006759148772898934, Congonhas, Brazil)
