Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Edges with IATA code
SUM:1.171139769954822
SUM:1.0685634213691575
SUM:1.0273588144968422
SUM:1.010852592050819
SUM:1.0042443877445162
SUM:1.001599364439582
SUM:1.000540573182002
SUM:1.0001168071243816
SUM:0.9999472076798018
SUM:0.9998793342225153
SUM:0.9998521728436955
SUM:0.9998413038783637
SUM:0.9998369546903314
SUM:0.9998352144322901
SUM:0.9998345181155617
SUM:0.9998342395111527
SUM:0.9998341280410379
SUM:0.9998340834426291
SUM:0.9998340655994873
SUM:0.9998340584608675
SUM:0.9998340556049191
SUM:0.9998340544623618
SUM:0.999834054005275
SUM:0.9998340538224151
SUM:0.999834053749266
SUM:0.9998340537200052
SUM:0.9998340537082971
 ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ ( Page rank, Airport name) ↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓ 
(0.0006717539855803432, Adelaide Intl, Australia)
(0.0006685905047506008, Lynden Pindling Intl, Bahamas)
(0.0006633454156063478, Tansonnhat Intl, Vietnam)
(0.0006572792369734686, Cairns Intl, Australia)
(0.0006569844612052221, Mashhad, Iran)
(0.0006557715674810907, Eduardo Gomes Intl, Brazil)
(0.0006555726152949211, Jose Marti Intl, Cuba)
(0.0006518764268718259, Luanda 4 De Fevereiro, Angola)
(0.000648842005945876, Netaji Subhash Chandra Bose Intl, India)
(0.0006482662275162309, Hasanuddin, Indonesia)
(0.0006459392412381539, Taoyuan Intl, Taiwan)
(0.0006458885305018718, Arturo Merino Benitez Intl, Chile)
(0.0006441498385667243, Zurich, Switzerland)
(0.0006424468181535834, Abu Dhabi Intl, United Arab Emirates)
(0.0006374666158161115, Port Vila Bauerfield, Vanuatu)
(0.0006321106193726506, Orlando Sanford Intl, United States)
(0.0006209000812882695, Marcos A Gelabert Intl, Panama)
(0.0006192093017070529, Stansted, United Kingdom)
(0.00061405562436114, Lisboa, Portugal)
(0.000613102632335963, Nnamdi Azikiwe Intl, Nigeria)
(0.0006105872047260072, Jiangbei, China)
(0.0005990749582527414, Jinnah Intl, Pakistan)
(0.0005903070081404467, Glasgow, United Kingdom)
(0.0005894435709998799, Yellowknife, Canada)
(0.000583928106027415, Mactan Cebu Intl, Philippines)
(0.00058332787308828, Mariscal Sucre Intl, Ecuador)
(0.0005799807647677416, Sioux Lookout, Canada)
(0.0005798452624814034, Baoan Intl, China)
(0.0005786079773310226, Wellington Intl, New Zealand)
(0.0005775093180539773, Juan Santamaria Intl, Costa Rica)
(0.0005724904578775878, Hongqiao Intl, China)
(0.0005699316872852384, Nadi Intl, Fiji)
(0.0005697579771077244, Portland Intl, United States)
(0.0005585760743566376, Deputado Luis Eduardo Magalhaes, Brazil)
(0.000555471175030631, Dublin, Ireland)
(0.0005538734835733552, Cancun Intl, Mexico)
(0.0005532246145798558, Noibai Intl, Vietnam)
(0.0005456791737953949, New Chitose, Japan)
(0.0005452390271034373, Magenta, New Caledonia)
(0.0005358699362310572, Chicago Midway Intl, United States)
(0.000535193043103546, Ralph Wien Mem, United States)
(0.0005343820133491812, Mohammed V Intl, Morocco)
(0.0005337124444084434, Malpensa, Italy)
(0.00053067132550902, Edmonton Intl, Canada)
(0.0005286296185618059, Cote D\\'Azur, France)
(0.0005284404965250746, Bali Ngurah Rai, Indonesia)
(0.0005271793865656838, Bangalore, India)
(0.0005238301037744947, Henri Coanda, Romania)
(0.0005235705399960259, Ronald Reagan Washington Natl, United States)
(0.0005219714173011037, Murtala Muhammed, Nigeria)
(0.000518864901337863, Luis Munoz Marin Intl, Puerto Rico)
(0.0005186334254510496, Nome, United States)
(0.0005154176314308339, Alicante, Spain)
(0.0005140185293363428, Ketchikan Intl, United States)
(0.000510509804288378, Almaty, Kazakhstan)
(0.0005077474163855805, Xiaoshan, China)
(0.0005001342823019688, Saint Exupery, France)
(0.0004975010149973548, Bergamo Orio Al Serio, Italy)
(0.000494156522372748, Provence, France)
(0.000493083300534276, Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.0004925931443547728, Chinggis Khaan Intl, Mongolia)
(0.000492548922754048, La Guardia, United States)
(0.000492521545937635, Kotoka Intl, Ghana)
(0.0004921401382635939, Doha Intl, Qatar)
(0.0004894640717858849, Cleveland Hopkins Intl, United States)
(0.0004875711007573292, Birmingham, United Kingdom)
(0.0004841714873775064, Gaoqi, China)
(0.00048358705103667337, Gran Canaria, Spain)
(0.0004788357886754792, King Salmon, United States)
(0.00047883057034302077, Nausori Intl, Fiji)
(0.0004780462954406507, Malaga, Spain)
(0.0004774214647230404, Tocumen Intl, Panama)
(0.0004749138028667384, Galeao Antonio Carlos Jobim, Brazil)
(0.0004748539273111623, Tegel, Germany)
(0.00047393133162079503, Tripoli Intl, Libya)
(0.00047367932135404647, Ivato, Madagascar)
(0.00047322802240047846, Jeju Intl, South Korea)
(0.000472380163027731, Mandalay Intl, Burma)
(0.00047136962649222243, Koltsovo, Russia)
(0.00046997517088878514, Sochi, Russia)
(0.00046925501977565655, Tancredo Neves Intl, Brazil)
(0.0004685061476159405, Darwin Intl, Australia)
(0.00046582267681487087, Cape Town Intl, South Africa)
(0.00046491334078905085, Liuting, China)
(0.0004632434707746061, Miri, Malaysia)
(0.00046210945585063284, Esenboga, Turkey)
(0.00046125924067193057, Tianhe, China)
(0.0004593947434713775, Afonso Pena, Brazil)
(0.0004571471883511767, Yuzhny, Uzbekistan)
(0.00045711161257800027, Christchurch Intl, New Zealand)
(0.00045602502878058624, Edinburgh, United Kingdom)
(0.0004559464545633697, Iqaluit, Canada)
(0.0004520582056672426, Baltimore Washington Intl, United States)
(0.0004513341492511359, Tampa Intl, United States)
(0.0004498667603025957, Kansai, Japan)
(0.0004493140747874455, Marechal Rondon, Brazil)
(0.00044865045507567813, Nairobi Wilson, Kenya)
(0.00044720303986384825, Tanna island, Vanuatu)
(0.0004435741009740877, Yangon Intl, Burma)
(0.0004408465463532231, Osaka Intl, Japan)
(0.00044078705340886646, Girona, Spain)
(0.0004357406355173905, Hyderabad, India)
(0.00043431178660086127, Rarotonga Intl, Cook Islands)
(0.0004341389803587669, Salgado Filho, Brazil)
(0.0004339035290943809, Boryspil Intl, Ukraine)
(0.00043342802475747686, Huanghua, China)
(0.0004316763200119912, Taiping, China)
(0.00043061184553284184, Khartoum, Sudan)
(0.00043025961904052885, Zia Intl, Bangladesh)
(0.00043010318473541185, Flesland, Norway)
(0.0004283359090776732, Congonhas, Brazil)
(0.0004279776754275195, Astana Intl, Kazakhstan)
(0.00042763412242713845, City, United Kingdom)
(0.0004232127004809698, Tolmachevo, Russia)
(0.0004183689421640168, Seeb Intl, Oman)
(0.00041527551606147887, Ibiza, Spain)
(0.0004127866346944038, Phoenix-Mesa Gateway, United States)
(0.00041237826526590134, El Alto Intl, Bolivia)
(0.0004098825529009155, Val De Cans Intl, Brazil)
(0.0004092070569108015, Kota Kinabalu Intl, Malaysia)
(0.000409150920190365, Winnipeg Intl, Canada)
(0.00040713269488347985, Chennai Intl, India)
(0.00040630026583159936, Juanda, Indonesia)
(0.00040554417674041867, Lukou, China)
(0.00040491893945828356, Fukuoka, Japan)
(0.0004045745506049292, Venezia Tessera, Italy)
(0.00040383341653978246, Queen Alia Intl, Jordan)
(0.00040339723497891756, Yakutsk, Russia)
(0.00040172277895734223, Reykjavik, Iceland)
(0.00039986807296822304, Jose Joaquin De Olmedo Intl, Ecuador)
(0.0003989091604959662, Ruzyne, Czech Republic)
(0.00039872174128900494, Zhoushuizi, China)
(0.00039818101828026153, Stuttgart, Germany)
(0.0003964978264883417, Rhodes Diagoras, Greece)
(0.0003954842377476805, Don Miguel Hidalgo Y Costilla Intl, Mexico)
(0.0003952145669476348, Beijing Nanyuan Airport, China)
(0.0003951109714742524, Aniak Airport, United States)
(0.0003931280123409888, Lusaka Intl, Zambia)
(0.0003929486841701373, Riga Intl, Latvia)
(0.0003916965455313638, Ministro Pistarini, Argentina)
(0.000391006890028604, Geneve Cointrin, Switzerland)
(0.0003906676100351106, Koln Bonn, Germany)
(0.0003905115310310217, Nikos Kazantzakis, Greece)
(0.0003897148155005314, Antalya, Turkey)
(0.0003888990243603795, Bodo, Norway)
(0.0003872485310214122, San Diego Intl, United States)
(0.0003868038902276469, Polonia, Indonesia)
(0.00038604614676674976, Chaklala, Pakistan)
(0.0003859971416645056, Kuwait Intl, Kuwait)
(0.0003843166479216527, Tobias Bolanos International Airport, Costa Rica)
(0.0003829070800666833, Shenyang Taoxian International Airport, China)
(0.0003805368509903656, Wabush, Canada)
(0.0003803979971086251, Kahului, United States)
(0.00037978587008204563, Rankin Inlet, Canada)
(0.0003789558749293242, Goose Bay, Canada)
(0.0003785662557233643, Sanaa Intl, Yemen)
(0.00037707659265199866, Luton, United Kingdom)
(0.0003768727916656994, General Abelardo L Rodriguez Intl, Mexico)
(0.00037543804835977844, Santo Pekoa International Airport, Vanuatu)
(0.00037460111955326395, Princess Juliana Intl, Netherlands Antilles)
(0.0003736185523678225, Shiraz Shahid Dastghaib Intl, Iran)
(0.0003730638134123074, Langnes, Norway)
(0.0003726423620445251, Ben Gurion, Israel)
(0.00037226274380429354, Alfonso Bonilla Aragon Intl, Colombia)
(0.0003720633922077756, Inuvik Mike Zubko, Canada)
(0.00037163353555688525, Okecie, Poland)
(0.0003709597654537083, Naha, Japan)
(0.00036947956423473747, King Fahd Intl, Saudi Arabia)
(0.0003652500514755347, Longdongbao, China)
(0.00036238957735888186, Sept Iles, Canada)
(0.0003623064403223337, Kirkwall, United Kingdom)
(0.00036159020391884986, Pampulha Carlos Drummond De Andrade, Brazil)
(0.0003613869497759717, Sepinggan, Indonesia)
(0.00036120936253328587, Porto, Portugal)
(0.00036083667461770443, General Mariano Escobedo Intl, Mexico)
(0.0003602033058124938, Thunder Bay, Canada)
(0.0003600932413682076, Xinzheng, China)
(0.0003594950543215405, Brussels South, Belgium)
(0.0003591921592358287, Hamburg, Germany)
(0.00035843849999483746, Carthage, Tunisia)
(0.00035831655468664104, Sentani, Indonesia)
(0.000357735341075316, Baita Airport, China)
(0.00035712386803897104, Wattay Intl, Laos)
(0.0003557036308053004, Leopold Sedar Senghor Intl, Senegal)
(0.000355404135220197, Tenerife Sur, Spain)
(0.00035189242477520977, Talagi, Russia)
(0.00035130812915663503, Billings Logan International Airport, United States)
